modelos,acuracia,precisao,recall,f1,auc
knn,0.6142857142857143,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.6154791154791154
logisticregression,0.6285714285714286,0.5660377358490566,0.9090909090909091,0.6976744186046512,0.6437346437346438
supportvectormachines,0.5857142857142857,0.5357142857142857,0.9090909090909091,0.6741573033707865,0.6031941031941033
randomforest,0.6571428571428571,0.5818181818181818,0.9696969696969697,0.7272727272727272,0.6740376740376741
xgboost,0.5857142857142857,0.54,0.8181818181818182,0.6506024096385542,0.5982800982800984
dummy,0.45714285714285713,0.41935483870967744,0.3939393939393939,0.40625,0.45372645372645376
